ID,Title,GrantType,ImageURL,Grantee0Name,Grantee0Inst,Grantee1Name,Grantee1Inst,Grantee2Name,Grantee2Inst,GrantYear,GrantMentor,GrantArea0,GrantArea1,GrantArea2,GrantAmount,Content0Header,Content0Content,Content1Header,Content1Content,Content2Header,Content2Content
6400,"""Unexpected"" Suicide Attempts: Treatment Utilizers Denying Ideation in Month Prior to Attempt","Standard Research Grant",http://afsp.org/wp-content/uploads/2016/04/Whiteside-Ursula-2011.jpg,"Ursula Whiteside, Ph.D.",Group Health Cooperative,NULL,NULL,NULL,NULL,2014,NULL,"Psychosocial Studies",NULL,NULL,90000,Inside the Research,"<strong> Question:</strong> How can suicide risk be detected when no suicidal ideation is reported?
<strong>Strategy:</strong> Interview and analyze qualitative interviews from individuals who reported no ideation when assessed yet made suicide attempts shortly after assessment. Key themes will be summarized into domains.
<strong>Impact:</strong> Identification of people at risk who do not talk about their suicidal ideation.",NULL,NULL,NULL,NULL
18641,A Developmental Psychopathology Perspective on Intergenerational Transmission of Suicide Attempts,pilot,http://afsp.org/wp-content/uploads/2017/10/Ortin-Peralta-Ana-2016.jpg,"Ana Ortin Peralta, Ph.D.",Hunter College of CUNY,NULL,NULL,NULL,NULL,2017,NULL,"Psychosocial Studies",NULL,NULL,30000,Inside the Research,"<strong>Question: </strong>What is the impact of parental suicide attempts on offspring?
<strong>Strategy: </strong>Using the 1987 Finnish Birth Cohort data, offspring suicide attempts will be evaluated in relation to parent attempts, offspring childhood psychological assessments, and attempt by age 31.
<strong>Impact: </strong>Guidance for clinicians about suicide attempt risk of youth.",NULL,NULL,NULL,NULL
2473,A Functional Magnetic Imaging Study in First-Degree Relatives of Suicide Completers,"Standard Research Grant",http://afsp.wpengine.com/wp-content/uploads/2016/01/Jollant-Fabrice-2010.jpg,"Fabrice Jollant, M.D., Ph.D.","Douglas Mental Health Institute, McGill University",NULL,NULL,NULL,NULL,2011,NULL,"Genetic Studies","Loss Survivor Studies",NULL,73680,Inside the Research,"<strong>Bio:</strong> Dr. Jollant received his medical degree in 2004 and his doctorate in 2007 from le Université Montpellier I in France. He is currently an Assistant Professor in the Department of Psychiatry and McGill Group for Suicide Research at McGill University in Montréal.
<strong>Research Categories:</strong> Survivors of suicide, neuroimaging
<strong>Abstract: </strong>Studying the family members of individuals who died by suicide helps us understand more about genetic vulnerability for risk factors for suicide   by comparing them with individuals with a family history of depression and no suicide and those with no family history of either depression or suicide.  Dr. Jollant will use the brain imaging technique known as fMRI to discover whether cognitive and emotional vulnerability traits are shared within families. During brain imaging, participants will be asked to respond to faces expressing various emotions including anger, sadness, and happiness, and they will also perform the Iowa Gambling Task that measures an individual’s thinking flexibility and impulse control. Dr. Jollant expects that family members of those who died by suicide will perform differently on these two tasks and evidence differences in brain function.
<strong>Impact:</strong> To test the ability of these cognitive and emotional tasks to identify individuals who may be at risk for suicide and to use that knowledge to inform interventions.",NULL,NULL,NULL,NULL
18624,A Genetically Informed Study of Psychosocial Risk Factors for Suicide Attempt/Self-Harm,"Standard Research Grant",http://afsp.org/wp-content/uploads/2017/10/DOnofrio-Brian-2016.jpg,"Brian D'Onofrio, Ph.D.",Indiana University,NULL,NULL,NULL,NULL,2017,NULL,"Psychosocial Studies",NULL,NULL,99611,Inside the Research,"<strong>Question: </strong>What contributions do genetics and early psychosocial factors make in suicidal behavior?
<strong>Strategy: </strong>Analyze genetically informed data from an ongoing population based longitudinal twin study in Sweden to learn about how early psychological problems, sexual orientation, and social functioning relate to future suicide attempts.
<strong>Impact: </strong>Knowledge about early risk for adolescent suicidal behavior.",NULL,NULL,NULL,NULL
3651,A Genetically Informed Study of the Intergenerational Transmission of Suicidal Behavior,"Standard Research Grant",http://afsp.org/wp-content/uploads/2016/01/DOnofrio-Brian-2014.jpg,"Brian D'Onofrio, Ph.D.","Indiana University, Bloomington",NULL,NULL,NULL,NULL,2015,NULL,"Genetic Studies","Psychosocial Studies","Loss Survivor Studies",87871,Inside the Research,"<strong>Question:</strong> Do genetics, environment, and exposure to parental suicidal behavior relate to transmission of suicide across generations?
<strong>Strategy:</strong> Combine and analyze longitudinal, population-based registries, which include birth records of all offspring born in Sweden, family relationships, causes of deaths, and diagnostis for all hospitalizations.
<strong>Impact:</strong> Information about potential for suicide in families.",NULL,NULL,NULL,NULL
2418,A Pilot Study of Suicide Assessment in Rural Adults,pilot,http://afsp.staging.wpengine.com/wp-content/uploads/2016/01/Cukrowicz-Kelly-2011.jpg,"Kelly Cukrowicz, Ph.D.",Texas Tech University,NULL,NULL,NULL,NULL,2012,NULL,"Psychosocial Studies",NULL,NULL,30000,Inside the Research,"<strong>Bio:</strong> Dr. Cukrowicz received her doctorate from Florida State University in 2005. She is currently an Associate Professor in the Department of Psychology at Texas Tech University. She is a previous recipient of an AFSP Standard Research Grant in which she studied perceived burdensomeness in older males.
<strong>Research Categories:</strong> Rural areas, older adults, community-based research on suicidal ideation and behavior
<strong>Abstract: </strong>Suicide in rural areas has not received significant attention in the research literature, even though some studies indicate that suicide rates are higher among adults and older adults in rural areas than in urban areas. The aims of this study are (1) to establish the feasibility of assessing suicide risk in rural communities with limited access to referral care; (2) to determine a preliminary estimate of the prevalence of suicide ideation, self-injury, and history of suicide attempts in these rural communities; and (3) to examine the effectiveness and acceptability of safety and referral plans for individuals whose responses indicate elevated suicide risk. Participants will be adults aged 40 and older residing in Cochran or Parmer Counties in West Texas. This pilot study will provide necessary data for a future study of risk factors associated with suicide ideation and suicidal behavior in rural locales.
<strong>Impact:</strong> To determine the needs of the elderly in rural areas who are experiencing suicidal ideation or behavior, and to inform the development of targeted interventions.",NULL,NULL,NULL,NULL
18625,A Prospective Study of Sleep Health and Suicidal Behavior,"Standard Research Grant",http://afsp.org/wp-content/uploads/2017/10/Goldstein-Tina-2016.jpg,"Tina Goldstein, Ph.D.",Western Psychiatric Institute and Clinic,NULL,NULL,NULL,NULL,2017,NULL,"Psychosocial Studies",NULL,NULL,99354,Inside the Research,"<strong>Question: </strong>Among adolescents, do sleep difficulties forewarn risk for suicidal behavior?
<strong>Strategy: </strong>Using smartphones and actigraphy, 50 adolescents in clinical treatment will monitor sleep and suicidal ideation and behavior for three months. Data will be analyzed using machine learning techniques.
<strong>Impact: </strong>Assessment and prevention strategies for at-risk teens with sleep difficulties.",NULL,NULL,NULL,NULL
2423,A Test of the Interpersonal-Psychological Theory of Suicide in Prison Inmates,"Young Investigator Grant",http://afsp.org/wp-content/uploads/2016/02/Mandracchia-Jon-2010.jpg,"Jon Mandracchia, Ph.D.",University of Southern Mississippi,NULL,NULL,NULL,NULL,2011,"Ronald R. Holden, Ph.D., Queen's University","Psychosocial Studies",NULL,NULL,85000,Inside the Research,"<strong>Bio:</strong> Dr. Mandracchia received his doctorate at Texas Tech University in 2009. He is currently an Assistant Professor in the Department of Psychology at The University of Southern Mississippi and has published several articles on prison inmates and criminal thinking.
<strong>Research Category:</strong> Criminal offenders
<strong>Abstract: </strong>The Interpersonal-Psychological Theory of Suicide suggests that a person who feels more disconnected and burdensome, has less fear of death, and has an increased pain tolerance is at higher risk for suicide. These factors may contribute to current suicidal ideation above and beyond the contributions of depression, hopelessness, past suicidal ideation, history of suicide attempt, psychopathy, criminal thinking and criminal behavior. Dr. Mandracchia will administer questionnaires to inmates in the Mississippi Department of Corrections and analyze the relative contributions of these factors to suicidal ideation to test this theory.  He hypothesizes that inmates reporting less connectedness and more burdensomeness will report more suicidal ideation. An additional hypothesis is that people who report less concern for others (psychopathy) will be less likely to feel like a burden.
<strong>Impact:</strong> To establish the applicability of the Interpersonal-Psychological Theory of suicide to inmates, leading to improved suicide risk assessment and proactive treatment for people who are incarcerated.",Research Connection,"
<a href=""http://afsp.org/investigating-suicidal-thinking-men-prison/"">Click here to read Dr. Mandracchia's Research Connection.</a>",NULL,NULL
11580,"ABFT for LGBTQ Suicidal Youth: Feasibility, Acceptability and Transportability","Postdoctoral Research Fellowship,http://afsp.org/wp-content/uploads/2016/11/Russon-Jody-2015.jpg,"Jody Russon, Ph.D.",Drexel University,NULL,NULL,NULL,NULL,2016,"Guy Diamond, Ph.D., Drexel University","Clinical Treatment Studies",NULL,NULL,104000,Inside the Research,"<strong>Question:</strong> Can Attachment Based Family Therapy (ABFT) be further modified for LGBT youth in a community mental health setting?</span></p>
<strong>Strategy:</strong> Using implementation science and working with community stakeholders, AFBT will be modified and pilot tested with LGBT suicidal youth.</span></p>
<strong>Impact:</strong> A portable, feasible intervention for suicidal LGBT youth and their families.</span></p>",NULL,NULL,NULL,NULL
11583,Additive Effect of Early Life Adversities and Polygenic Risk on Suicide Attempt in Schizophrenia,pilot,http://afsp.org/wp-content/uploads/2016/11/De-Luca-Vincenzo-2015.jpg,"Vincenzo De Luca, Ph.D.",CAMH Psychiatry (Canada),NULL,NULL,NULL,NULL,2016,NULL,"Neurobiological Studies","Genetic Studies",NULL,27658,Inside the Research,"<strong>Question:</strong>  Do schizophrenia related genes interact with childhood trauma to modulate suicide risk?</span></p>
<strong>Strategy:</strong> Examine history of childhood trauma and 108 genetic markers for schizophrenia in a sample of people with schizophrenia.  Individuals with and without suicide attempts and childhood trauma will be compared.</span></p>
<strong>Impact:</strong> Use of gene-environment interactions to identify suicide risk.</span></p>",NULL,NULL,NULL,NULL
18642,Adjunctive Nitrous Oxide for Acute Suicidal Ideation in Unipolar Depressed Hospitalized Patients,"Focus Grant",http://afsp.org/wp-content/uploads/2017/10/Conway-Charles-2016.jpg,"Charles Conway, M.D.",Washington University School of Medicine,NULL,NULL,NULL,NULL,2017,NULL,"Clinical Treatment Studies",NULL,NULL,999241,Inside the Research,"<strong>Focus: </strong>Short-Term Risk
<strong>Question: </strong>Can Nitrous Oxide (N2O) be used to rapidly reduce suicide risk?
<strong>Strategy: </strong>This randomized control trial will compare individuals admitted to the hospital for depression and serious suicidal ideation treated with N2O vs. usual treatment.
<strong>Impact: </strong>A relatively safe and easily administered rapid intervention to reduce suicide risk.",NULL,NULL,NULL,NULL
3658,Adolescents Coping with Co-occurring Early Psychosis and Suicidality: A Parent Training Intervention (ACCEPT),"Standard Research Grant",http://afsp.org/wp-content/uploads/2016/01/Yen-Shirley-2014.jpg,"Shirley Yen, Ph.D.",Brown University,NULL,NULL,NULL,NULL,2015,NULL,"Clinical Treatment Studies",NULL,NULL,90000,Inside the Research,"<strong>Question:</strong> Is ACCEPT a feasible and acceptable intervention for suicidal adolescents with psychosis and their parents?
<strong>Strategy:</strong> Develop the ACCEPT manual, test it with suicidal adolescents with psychosis and their parents, and examine feasibility and acceptability of the treatment.
<strong>Impact:</strong> Treatment for adolescents with psychosis during the high risk post-discharge period.",NULL,NULL,NULL,NULL
2560,"Aeroallergens, Air Pollution Exposures and Suicide Rates in Hungary, 2005-2011","Young Investigator Grant",http://afsp.wpengine.com/wp-content/uploads/2016/01/Thomas_Cook-2.jpg,"Thomas Cook, M.P.H., Ph.D.",Mercyhurst University,NULL,NULL,NULL,NULL,2013,"Teodor Postolache, M.D., University of Maryland School of Medicine, Baltimore","Neurobiological Studies","Psychosocial Studies",NULL,84200,Inside the Research,"<strong>Bio:</strong> Dr. Cook received his doctorate from Case Western Reserve University in 2011. He is currently an Assistant Professor of Public Health at Mercyhurst University in Pennsylvania.
<strong>Research Categories:</strong> International studies; psychosocial studies; neurobiological studies
<strong>Abstract:</strong> Hungary has among the highest suicide rates in the world, with persistently high local rates of suicide in the Southern lowlands. Hungary is also a global hotspot for highly allergenic short ragweed, and has the highest air pollution concentrations in Europe. Dr. Cook’s study addresses the link among Hungary’s relatively high burden of aeroallergens, air pollution, allergic disease, and suicide. Aeroallergens serve as a catalyst for inflammation, which has been shown to be related to mental health conditions and suicide.  His study will look at the suicide rates across Hungary in relation to peak periods of aeroallergen exposures, using air pollution as a comparator regarding association with suicide. All suicides during 2005-2011 in nine counties of Hungary spanning diverse geographic regions are included. These data will be analyzed along with daily air quality monitoring of air pollution and allergens in all of the regions. The aim will be to account for geographic and temporal variability of suicide rates across Hungary in relation to both air pollution and peak periods of aeroallergen exposure.
<strong>Impact:</strong> Development of novel therapeutic targets for environmental risk factors for suicide.",NULL,NULL,NULL,NULL
11591,An ED-based Randomized Clinical Trial of Lethal Means Counseling for Parents of At-Risk Youth,"Focus Grant",http://afsp.org/wp-content/uploads/2016/12/Miller-Runyan-Barber.jpg,"Matthew Miller, M.D., MPH, Sc.D.",Northeastern University,"Carol Runyan, Ph.D.",Harvard University,"Cathy Barber, MPA",University of Colorado,2016,NULL,"Clinical Treatment Studies",NULL,NULL,1478266,Inside the Research,"<p class=""p1""><b>Question: </b>Does lethal means counseling for parents of adolescents at high risk for suicide positively affect decisions related to access to lethal means in the home?</p>
<p class=""p1""><b>Strategy: </b>One way for AFSP to reach its goal of reducing suicide 20% by 2025 is to support efforts to reduce the use of lethal means in suicidal acts. One promising strategy — “lethal means counseling” (LMC)— is to counsel patients at risk of suicide, or their families, to store household firearms and medications away from home, or locked inaccessibly, until the patient recovers. This study will be conducted in six Colorado hospitals and will test whether parents of at-risk adolescents who are treated in hospitals that have implemented a LMC protocol are more likely to store household firearms and medications safely relative to before the hospital provided LMC. Factors that affect parents’ willingness and ability to make changes to firearm and medication storage will be explored.</p>
<p class=""p2""><b>Impact: </b>Increased proactive behaviors to reduce access to lethal means and the potential for reduced rates of suicide.</p>",NULL,NULL,NULL,NULL
2546,An Epigenetic Approach to Rapidly Treat Depression with Comorbid Anxiety: Implications for Suicide Prevention,"Postdoctoral Research Fellowship,http://afsp.wpengine.com/wp-content/uploads/2016/01/Nasca-Carla-2012.jpg,"Carla Nasca, Ph.D.",The Rockefeller University,NULL,NULL,NULL,NULL,2013,"Bruce McEwen, Ph.D., The Rockefeller University","Neurobiological Studies",NULL,NULL,104000,Inside the Research,"<strong>Bio:</strong> Dr. Nasca received her doctorate from Erspamer University in Rome Italy in 2012. She is currently a "Postdoctoral Research Fellowship Researcher in the Department of Neuroendocrinology at The Rockefeller University.
<strong>Research Categories:</strong> Neurobiological studies; animal studies; brain functioning studies
<strong>Abstract: </strong>Although persons with anxiety and depression are shown to be at higher risk of suicide, individuals may also have a genetic predisposition or tendency towards suicidal ideation, which is aggravated further by stressors such as poverty, social isolation, and childhood abuse. This demonstrates the need to uncover both medications that will ameliorate mood (reducing the probability of suicidal behavior), as well as more efficient antidepressants with faster onset of action. The rapid and long-lasting action of the acetylating agent L-acetylcarnitine, a well-tolerated drug, acts by enhancing the levels of the histone H3H27ac bound to the Grm2 gene. Its use strongly suggests a novel approach to examine the epigenetic mechanisms that control the proper expression of multiple genes that are involved in the pathophysiology of psychiatric disorders. The researchers will conduct a stress/postmortem study with mice to examine whether an acetyl-L-carnitine treatment, which directly resets the chromatin assembly, may correct the pathological epigenetic programming associated with stress-related depression and anxiety, improving or restoring normal brain activity. This will inform us whether a novel epigenetic approach to the treatment of stress related disorders can improve or restore normal brain activity and, ultimately, ameliorate the associated deficits in cognitive processing, perception and memory function associated with suicide attempters.
<strong>Impact:</strong> Understanding how epigenetic mechanisms modulate stress-sensitive endpoints affords the opportunity to explore the molecular mechanisms of current antidepressants and to develop novel pharmacological approaches to rapidly treat and prevent psychiatric disorders, as well as providing insight into how individuals sharing similar genes might show large difference in disease susceptibility.",NULL,NULL,NULL,NULL
152909,An Integrated Approach to Understanding the Biology of Suicidal Behavior,"Focus Grant",http://afsp.org/wp-content/uploads/2019/11/Willour-Ginny-2018.jpg,"Virginia Willour, Ph.D.",University of Iowa,NULL,NULL,NULL,NULL,2018,NULL,"Neurobiological Studies","Genetic Studies",NULL,1488788,Grant Information,"We have learned that genetics, as well as brain structure and function, play important roles in suicidal behavior. By studying individuals with bipolar disorder and suicidal behavior, and comparing them with those who have bipolar disorder without suicidal behavior and those with no mental health condition, we can learn about pathways to prevent suicidal behavior for people with bipolar disorder.",NULL,NULL,NULL,NULL
